Site;SS33 Rue des Communaux 7 (ID 3233);SS33 Rue des Communaux 7 (ID 3233);SS33 Rue des Communaux 7 (ID 3233);SS33 Rue des Communaux 7 (ID 3233)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-09 00:00:00;17;74.0;32.0;43.8
2023-01-09 01:00:00;20;74.1;33.1;44.9
2023-01-09 02:00:00;16;75.2;40.8;48.7
2023-01-09 03:00:00;19;74.0;32.2;44.7
2023-01-09 04:00:00;18;74.0;32.5;44.4
2023-01-09 05:00:00;17;75.1;42.1;49.2
2023-01-09 06:00:00;20;74.4;32.4;45.5
2023-01-09 07:00:00;17;74.7;34.7;46.7
2023-01-09 08:00:00;22;75.9;42.6;51.8
2023-01-09 09:00:00;18;74.9;35.0;47.1
2023-01-09 10:00:00;20;75.8;43.4;51.5
2023-01-09 11:00:00;15;75.1;33.4;45.2
2023-01-09 12:00:00;23;75.0;36.8;48.4
2023-01-09 13:00:00;14;75.3;39.7;48.7
2023-01-09 14:00:00;22;75.7;40.0;50.1
2023-01-09 15:00:00;16;75.3;38.0;47.2
2023-01-09 16:00:00;27;75.8;41.5;53.3
2023-01-09 17:00:00;19;75.3;38.3;49.7
2023-01-09 18:00:00;25;75.5;39.3;51.4
2023-01-09 19:00:00;19;75.6;39.9;50.6
2023-01-09 20:00:00;18;75.0;34.8;47.3
2023-01-09 21:00:00;19;75.9;42.0;50.1
2023-01-09 22:00:00;22;75.0;33.6;46.6
2023-01-09 23:00:00;23;75.8;42.1;51.4
2023-01-10 00:00:00;19;74.4;34.0;46.4
2023-01-10 01:00:00;25;75.1;38.2;49.9
2023-01-10 02:00:00;20;75.4;37.6;48.7
2023-01-10 03:00:00;23;75.0;34.6;48.1
2023-01-10 04:00:00;25;75.4;38.7;50.4
2023-01-10 05:00:00;21;75.4;38.6;49.9
2023-01-10 06:00:00;24;75.6;35.5;49.9
2023-01-10 07:00:00;25;76.2;38.9;52.4
2023-01-10 08:00:00;22;76.5;42.1;53.3
2023-01-10 09:00:00;22;75.7;37.0;51.2
2023-01-10 10:00:00;26;76.3;42.1;53.9
2023-01-10 11:00:00;18;76.0;39.1;50.7
2023-01-10 12:00:00;16;75.0;35.4;47.6
2023-01-10 13:00:00;19;76.3;43.7;51.8
2023-01-10 14:00:00;18;75.1;35.4;47.5
2023-01-10 15:00:00;19;76.1;44.3;51.9
2023-01-10 16:00:00;19;75.0;34.6;47.2
2023-01-10 17:00:00;21;76.1;43.3;52.0
2023-01-10 18:00:00;19;75.0;34.8;47.7
2023-01-10 19:00:00;22;75.9;42.9;52.4
2023-01-10 20:00:00;19;75.1;35.4;47.3
2023-01-10 21:00:00;21;75.3;35.1;46.9
2023-01-10 22:00:00;17;75.7;38.9;47.9
2023-01-10 23:00:00;21;74.8;34.1;46.3
