Site;SS28 Rue des Tilleuls 1 (ID 3228);SS28 Rue des Tilleuls 1 (ID 3228);SS28 Rue des Tilleuls 1 (ID 3228);SS28 Rue des Tilleuls 1 (ID 3228)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-07 13:00:00;13;77.0;31.4;38.4
2023-01-07 14:00:00;23;78.5;42.2;54.4
2023-01-07 15:00:00;19;79.4;53.4;65.0
2023-01-07 16:00:00;15;78.8;55.0;64.3
2023-01-07 17:00:00;18;76.6;43.1;54.1
2023-01-07 18:00:00;22;79.3;52.0;65.0
2023-01-07 19:00:00;18;79.2;53.8;65.0
2023-01-07 20:00:00;17;79.2;54.3;65.0
2023-01-07 21:00:00;18;79.0;54.2;65.0
2023-01-07 22:00:00;18;79.2;54.2;65.0
2023-01-07 23:00:00;2;69.8;33.1;46.0
2023-01-08 00:00:00;0;53.1;27.9;45.9
2023-01-08 01:00:00;0;48.5;26.7;42.6
2023-01-08 02:00:00;0;45.8;26.0;40.5
2023-01-08 03:00:00;0;43.3;26.0;38.7
2023-01-08 04:00:00;0;41.2;25.6;37.1
2023-01-08 05:00:00;0;39.2;25.0;35.7
2023-01-08 06:00:00;17;77.8;56.2;64.6
2023-01-08 07:00:00;15;75.5;39.5;55.0
2023-01-08 08:00:00;17;78.4;33.0;41.2
2023-01-08 09:00:00;23;79.0;44.9;56.3
2023-01-08 10:00:00;20;79.7;53.1;65.0
2023-01-08 11:00:00;21;80.0;52.6;65.0
2023-01-08 12:00:00;21;79.9;52.2;65.0
2023-01-08 13:00:00;13;78.7;46.9;56.0
2023-01-08 14:00:00;19;78.4;37.0;48.5
2023-01-08 15:00:00;30;79.8;47.8;64.3
2023-01-08 16:00:00;23;80.0;51.1;65.0
2023-01-08 17:00:00;21;79.5;52.1;65.0
2023-01-08 18:00:00;25;79.9;50.0;65.0
2023-01-08 19:00:00;22;79.5;51.8;65.0
2023-01-08 20:00:00;26;80.0;49.2;65.0
2023-01-08 21:00:00;27;79.8;48.6;65.1
2023-01-08 22:00:00;17;79.6;54.7;65.3
2023-01-08 23:00:00;1;67.1;43.4;50.3
2023-01-09 00:00:00;5;73.5;26.8;33.4
2023-01-09 01:00:00;0;53.9;25.8;44.1
2023-01-09 02:00:00;0;46.5;24.6;39.8
2023-01-09 03:00:00;0;43.8;24.0;38.0
2023-01-09 04:00:00;0;41.6;23.6;36.6
2023-01-09 05:00:00;11;59.6;36.1;47.4
2023-01-09 06:00:00;38;79.6;46.2;64.9
2023-01-09 07:00:00;20;78.9;41.2;52.9
2023-01-09 08:00:00;27;79.5;48.9;62.6
2023-01-09 09:00:00;22;79.5;51.7;65.1
2023-01-09 10:00:00;20;79.7;52.8;65.0
2023-01-09 11:00:00;9;76.9;44.7;50.5
2023-01-09 12:00:00;24;77.9;36.7;48.9
2023-01-09 13:00:00;21;79.9;52.3;65.0
2023-01-09 14:00:00;17;77.9;46.5;57.2
2023-01-09 15:00:00;19;79.4;53.5;65.0
2023-01-09 16:00:00;20;79.2;52.6;65.0
2023-01-09 17:00:00;20;79.3;53.0;65.0
2023-01-09 18:00:00;20;79.3;52.9;65.0
2023-01-09 19:00:00;19;79.4;53.6;65.0
2023-01-09 20:00:00;18;79.4;53.6;65.0
2023-01-09 21:00:00;20;79.7;52.6;64.9
2023-01-09 22:00:00;25;80.0;50.4;65.1
2023-01-09 23:00:00;0;71.2;46.5;67.8
2023-01-10 00:00:00;0;62.4;36.6;60.8
2023-01-10 01:00:00;0;56.9;32.5;56.0
2023-01-10 02:00:00;0;52.6;30.1;52.0
2023-01-10 03:00:00;10;68.5;46.9;60.1
2023-01-10 04:00:00;0;56.8;34.4;52.1
2023-01-10 05:00:00;0;52.5;30.3;48.9
2023-01-10 06:00:00;43;78.9;45.7;65.1
2023-01-10 07:00:00;23;79.9;48.2;61.0
2023-01-10 08:00:00;26;79.5;42.4;55.6
2023-01-10 09:00:00;24;80.1;50.3;65.1
2023-01-10 10:00:00;19;80.0;53.2;65.0
2023-01-10 11:00:00;18;79.9;53.8;65.0
2023-01-10 12:00:00;10;77.0;39.3;45.8
2023-01-10 13:00:00;21;77.7;35.2;46.3
2023-01-10 14:00:00;12;78.3;40.4;48.4
2023-01-10 15:00:00;26;80.0;50.1;63.7
2023-01-10 16:00:00;16;79.9;54.9;65.0
2023-01-10 17:00:00;19;79.9;53.9;65.0
2023-01-10 18:00:00;11;76.8;34.7;41.3
2023-01-10 19:00:00;24;79.7;51.4;64.3
2023-01-10 20:00:00;18;79.9;53.7;65.0
2023-01-10 21:00:00;22;80.0;51.6;65.0
2023-01-10 22:00:00;23;80.0;51.6;65.0
2023-01-10 23:00:00;0;71.4;44.0;68.2
2023-01-11 00:00:00;0;62.2;35.2;60.5
