Site;SS39 Av. de Gilamont 46 (ID 3239);SS39 Av. de Gilamont 46 (ID 3239);SS39 Av. de Gilamont 46 (ID 3239);SS39 Av. de Gilamont 46 (ID 3239)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-05-18 04:00:00;7;76.2;27.0;33.2
2023-05-18 05:00:00;8;76.5;27.0;33.4
2023-05-18 06:00:00;65;78.9;58.3;70.7
2023-05-18 07:00:00;14;77.5;38.2;41.2
2023-05-18 08:00:00;15;75.3;29.0;36.2
2023-05-18 09:00:00;13;77.4;29.0;36.3
2023-05-18 10:00:00;41;77.9;62.4;67.7
2023-05-18 11:00:00;6;75.1;31.6;34.1
2023-05-18 12:00:00;5;77.2;28.0;33.4
2023-05-18 13:00:00;26;76.6;43.3;52.2
2023-05-18 14:00:00;9;77.5;65.8;77.1
2023-05-18 15:00:00;0;73.0;52.4;73.0
2023-05-18 16:00:00;0;68.9;46.3;68.9
2023-05-18 17:00:00;26;74.9;60.0;74.1
2023-05-18 18:00:00;0;75.3;59.8;75.2
2023-05-18 19:00:00;0;71.2;50.7;71.1
2023-05-18 20:00:00;42;75.4;57.2;74.4
2023-05-18 21:00:00;12;77.0;65.9;76.5
2023-05-18 22:00:00;0;72.4;53.2;72.4
2023-05-18 23:00:00;3;70.1;39.5;53.8
2023-05-19 00:00:00;8;77.4;26.0;32.2
2023-05-19 01:00:00;8;77.1;26.0;32.5
2023-05-19 02:00:00;8;76.3;26.4;32.7
2023-05-19 03:00:00;8;76.2;27.0;32.9
2023-05-19 04:00:00;9;77.1;27.0;33.1
2023-05-19 05:00:00;9;76.0;27.0;33.2
2023-05-19 06:00:00;67;78.4;58.8;71.4
2023-05-19 07:00:00;12;77.6;35.6;38.7
2023-05-19 08:00:00;15;77.9;28.8;36.0
2023-05-19 09:00:00;13;78.0;28.7;35.6
2023-05-19 10:00:00;42;78.9;59.3;69.3
2023-05-19 11:00:00;0;68.5;48.7;48.2
2023-05-19 12:00:00;0;58.6;28.6;52.2
2023-05-19 13:00:00;27;63.2;41.2;58.9
2023-05-19 14:00:00;16;78.1;68.3;77.7
2023-05-19 15:00:00;0;73.7;54.8;73.7
2023-05-19 16:00:00;0;69.8;48.9;69.7
2023-05-19 17:00:00;21;71.9;54.9;71.3
2023-05-19 18:00:00;6;76.8;64.9;76.6
2023-05-19 19:00:00;0;72.5;53.3;72.4
2023-05-19 20:00:00;0;68.6;48.4;68.5
2023-05-19 21:00:00;29;77.8;65.0;76.8
2023-05-19 22:00:00;0;74.1;56.3;74.0
2023-05-19 23:00:00;0;70.1;49.9;70.0
2023-05-20 00:00:00;0;66.4;46.4;66.3
2023-05-20 01:00:00;0;63.0;44.0;62.8
2023-05-20 02:00:00;9;73.5;26.7;33.5
2023-05-20 03:00:00;8;76.1;26.0;32.2
2023-05-20 04:00:00;8;76.2;26.0;32.4
2023-05-20 05:00:00;8;75.6;26.0;32.5
2023-05-20 06:00:00;62;78.7;57.7;70.3
2023-05-20 07:00:00;11;77.5;35.0;37.7
2023-05-20 08:00:00;14;76.3;28.0;35.3
2023-05-20 09:00:00;12;77.3;28.0;35.3
2023-05-20 10:00:00;39;76.4;63.6;71.2
2023-05-20 11:00:00;1;69.4;40.0;38.5
2023-05-20 12:00:00;0;55.2;27.0;48.3
2023-05-20 13:00:00;0;50.8;27.0;45.1
2023-05-20 14:00:00;20;76.2;65.9;74.6
2023-05-20 15:00:00;0;74.4;56.4;74.4
2023-05-20 16:00:00;0;70.3;49.0;70.4
2023-05-20 17:00:00;20;72.0;54.9;71.5
