Site;SS03 Av Corsier 8-10 (ID 3203);SS03 Av Corsier 8-10 (ID 3203);SS03 Av Corsier 8-10 (ID 3203);SS03 Av Corsier 8-10 (ID 3203)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-07 00:00:00;14;71.9;54.6;63.6
2023-01-07 01:00:00;11;69.5;30.6;33.9
2023-01-07 02:00:00;26;79.1;39.4;50.9
2023-01-07 03:00:00;5;68.1;44.1;46.3
2023-01-07 04:00:00;16;78.7;25.2;34.0
2023-01-07 05:00:00;27;79.6;39.5;50.2
2023-01-07 06:00:00;3;75.4;38.7;44.1
2023-01-07 07:00:00;20;79.7;26.6;37.5
2023-01-07 08:00:00;53;80.2;39.2;52.0
2023-01-07 09:00:00;20;76.5;37.8;46.1
2023-01-07 10:00:00;35;80.3;32.7;45.1
2023-01-07 11:00:00;15;74.3;45.2;52.3
2023-01-07 12:00:00;42;80.4;36.8;52.0
2023-01-07 13:00:00;12;71.8;51.0;55.9
2023-01-07 14:00:00;16;79.0;26.0;34.1
2023-01-07 15:00:00;42;80.0;37.5;51.5
2023-01-07 16:00:00;12;72.0;46.8;51.4
2023-01-07 17:00:00;16;79.4;26.0;34.8
2023-01-07 18:00:00;42;80.5;45.5;61.4
2023-01-07 19:00:00;10;74.3;38.0;42.9
2023-01-07 20:00:00;43;80.0;29.6;43.0
2023-01-07 21:00:00;31;78.1;54.6;66.3
2023-01-07 22:00:00;16;77.9;28.8;36.3
2023-01-07 23:00:00;26;78.6;31.7;44.0
2023-01-08 00:00:00;14;70.0;54.3;59.5
2023-01-08 01:00:00;12;78.0;26.4;35.0
2023-01-08 02:00:00;25;79.5;32.4;43.1
2023-01-08 03:00:00;7;68.7;53.9;57.1
2023-01-08 04:00:00;11;77.1;25.5;35.8
2023-01-08 05:00:00;21;78.0;29.6;42.0
2023-01-08 06:00:00;16;75.1;48.8;53.0
2023-01-08 07:00:00;14;80.0;26.0;35.5
2023-01-08 08:00:00;31;79.8;27.0;37.6
2023-01-08 09:00:00;18;74.5;52.1;57.8
2023-01-08 10:00:00;19;79.9;26.0;35.6
2023-01-08 11:00:00;33;80.2;33.4;45.8
2023-01-08 12:00:00;11;71.8;46.7;52.4
2023-01-08 13:00:00;17;79.5;26.0;34.6
2023-01-08 14:00:00;38;80.6;45.8;61.1
2023-01-08 15:00:00;9;71.2;36.5;40.6
2023-01-08 16:00:00;21;79.5;27.3;36.8
2023-01-08 17:00:00;22;73.7;54.3;62.8
2023-01-08 18:00:00;15;77.9;27.2;35.1
2023-01-08 19:00:00;38;80.0;33.6;46.7
2023-01-08 20:00:00;15;74.2;48.1;54.3
2023-01-08 21:00:00;50;80.4;39.2;54.9
2023-01-08 22:00:00;12;74.2;45.8;51.7
2023-01-08 23:00:00;9;74.9;26.1;39.8
2023-01-09 00:00:00;31;77.7;40.6;55.8
2023-01-09 01:00:00;2;63.2;49.2;50.1
2023-01-09 02:00:00;11;77.0;25.1;35.4
2023-01-09 03:00:00;13;69.2;48.2;55.8
2023-01-09 04:00:00;22;79.0;46.6;58.5
2023-01-09 05:00:00;3;63.2;42.5;42.1
2023-01-09 06:00:00;21;79.7;25.6;35.2
2023-01-09 07:00:00;32;79.6;47.0;59.1
2023-01-09 08:00:00;24;75.4;31.6;33.9
2023-01-09 09:00:00;45;80.7;42.2;58.1
2023-01-09 10:00:00;10;74.2;42.3;47.0
2023-01-09 11:00:00;16;79.5;26.0;35.3
2023-01-09 12:00:00;35;80.4;41.9;55.2
2023-01-09 13:00:00;11;73.8;38.1;44.0
2023-01-09 14:00:00;16;79.5;26.0;34.6
2023-01-09 15:00:00;40;79.8;45.8;59.2
2023-01-09 16:00:00;19;75.1;33.2;37.1
2023-01-09 17:00:00;42;80.2;33.2;46.5
2023-01-09 18:00:00;16;75.2;48.2;54.8
2023-01-09 19:00:00;19;79.8;27.0;36.1
2023-01-09 20:00:00;51;80.5;43.9;59.2
2023-01-09 21:00:00;11;74.2;38.1;42.6
2023-01-09 22:00:00;51;80.6;37.2;53.9
2023-01-09 23:00:00;21;75.6;55.5;65.8
2023-01-10 00:00:00;9;72.6;30.4;35.1
2023-01-10 01:00:00;23;78.8;27.5;38.0
2023-01-10 02:00:00;16;72.9;53.9;59.9
2023-01-10 03:00:00;11;74.6;26.7;40.2
2023-01-10 04:00:00;28;79.6;27.3;37.4
2023-01-10 05:00:00;15;73.0;55.0;60.0
2023-01-10 06:00:00;24;80.6;26.5;38.5
2023-01-10 07:00:00;29;80.7;28.7;39.2
2023-01-10 08:00:00;25;76.7;49.1;57.7
2023-01-10 09:00:00;22;80.4;27.0;34.9
2023-01-10 10:00:00;42;80.7;46.4;60.1
2023-01-10 11:00:00;14;75.3;33.8;37.7
2023-01-10 12:00:00;14;79.7;26.8;35.5
2023-01-10 13:00:00;34;78.4;50.7;63.7
2023-01-10 14:00:00;11;73.7;31.9;35.9
2023-01-10 15:00:00;14;79.5;27.0;35.2
2023-01-10 16:00:00;29;76.2;52.6;63.1
2023-01-10 17:00:00;18;77.7;27.6;35.6
2023-01-10 18:00:00;25;79.9;27.4;37.0
2023-01-10 19:00:00;21;74.0;53.1;61.9
2023-01-10 20:00:00;18;79.5;26.4;35.8
2023-01-10 21:00:00;54;80.8;46.3;63.9
2023-01-10 22:00:00;8;73.3;40.9;45.4
2023-01-10 23:00:00;22;77.0;28.2;39.6
2023-01-11 00:00:00;20;74.5;54.2;65.1
2023-01-11 01:00:00;10;71.2;31.3;34.7
2023-01-11 02:00:00;23;79.1;29.2;39.9
2023-01-11 03:00:00;12;70.8;54.4;59.1
2023-01-11 04:00:00;16;78.9;26.1;34.6
2023-01-11 05:00:00;25;80.0;29.6;40.3
2023-01-11 06:00:00;27;77.6;46.6;53.1
2023-01-11 07:00:00;35;80.3;27.0;37.7
2023-01-11 08:00:00;38;80.6;34.5;47.6
2023-01-11 09:00:00;18;75.3;44.8;51.2
2023-01-11 10:00:00;18;80.3;26.6;36.0
2023-01-11 11:00:00;35;80.7;45.5;60.0
2023-01-11 12:00:00;13;74.2;35.9;40.3
2023-01-11 13:00:00;14;79.9;26.3;35.2
2023-01-11 14:00:00;35;80.5;43.3;56.5
2023-01-11 15:00:00;15;74.8;34.9;39.9
2023-01-11 16:00:00;21;80.3;26.3;35.7
2023-01-11 17:00:00;33;80.5;44.7;57.3
2023-01-11 18:00:00;15;74.7;34.9;39.6
2023-01-11 19:00:00;35;80.3;28.3;40.5
2023-01-11 20:00:00;37;80.0;53.5;68.8
2023-01-11 21:00:00;20;76.9;30.2;36.3
2023-01-11 22:00:00;46;80.9;36.0;52.3
2023-01-11 23:00:00;21;76.1;55.5;66.2
2023-01-12 00:00:00;10;71.3;31.7;34.3
2023-01-12 01:00:00;28;79.5;30.3;40.9
2023-01-12 02:00:00;11;70.6;52.2;56.3
2023-01-12 03:00:00;17;79.6;26.0;34.9
2023-01-12 04:00:00;37;80.1;34.4;46.6
2023-01-12 05:00:00;7;73.5;45.6;50.7
2023-01-12 06:00:00;26;80.9;26.6;38.1
2023-01-12 07:00:00;43;80.8;35.0;48.0
2023-01-12 08:00:00;17;77.2;41.6;50.9
2023-01-12 09:00:00;34;80.9;30.7;43.9
2023-01-12 10:00:00;24;76.5;49.2;57.6
2023-01-12 11:00:00;16;80.4;27.0;35.6
2023-01-12 12:00:00;28;80.1;34.8;45.8
2023-01-12 13:00:00;7;69.2;50.3;54.1
2023-01-12 14:00:00;14;79.0;26.0;34.6
2023-01-12 15:00:00;27;80.1;39.6;51.5
2023-01-12 16:00:00;6;70.6;43.2;46.6
2023-01-12 17:00:00;16;79.7;26.0;34.9
2023-01-12 18:00:00;31;80.3;46.1;61.4
2023-01-12 19:00:00;11;72.3;34.6;38.3
2023-01-12 20:00:00;48;80.4;33.7;48.1
2023-01-12 21:00:00;22;75.5;47.1;55.4
2023-01-12 22:00:00;43;80.4;28.8;41.7
2023-01-12 23:00:00;28;79.1;55.3;69.2
2023-01-13 00:00:00;10;69.9;35.4;37.3
2023-01-13 01:00:00;22;79.6;28.4;38.6
2023-01-13 02:00:00;14;71.1;54.4;59.6
2023-01-13 03:00:00;14;78.3;26.2;34.4
2023-01-13 04:00:00;25;79.1;27.1;36.4
2023-01-13 05:00:00;15;72.5;56.5;62.5
2023-01-13 06:00:00;12;77.4;28.0;34.0
2023-01-13 07:00:00;22;80.4;27.2;36.8
2023-01-13 08:00:00;18;73.4;54.0;60.8
2023-01-13 09:00:00;16;79.5;26.2;35.0
2023-01-13 10:00:00;39;80.4;38.9;53.0
2023-01-13 11:00:00;9;72.9;42.0;47.4
2023-01-13 12:00:00;12;79.2;26.0;34.4
2023-01-13 13:00:00;37;80.4;46.2;60.8
2023-01-13 14:00:00;5;64.1;43.5;43.7
2023-01-13 15:00:00;10;77.9;25.1;34.3
2023-01-13 16:00:00;31;79.4;45.7;59.0
2023-01-13 17:00:00;7;68.4;37.9;40.1
2023-01-13 18:00:00;16;79.0;25.9;34.0
2023-01-13 19:00:00;30;74.9;53.0;63.7
2023-01-13 20:00:00;18;76.7;27.4;34.6
2023-01-13 21:00:00;55;80.4;45.0;61.8
2023-01-13 22:00:00;7;72.9;39.7;44.9
2023-01-13 23:00:00;30;76.3;29.5;42.7
2023-01-14 00:00:00;15;73.6;54.7;65.7
2023-01-14 01:00:00;9;65.3;33.9;35.1
2023-01-14 02:00:00;22;78.5;26.1;35.8
2023-01-14 03:00:00;15;71.7;54.9;60.0
2023-01-14 04:00:00;17;78.5;25.3;34.0
2023-01-14 05:00:00;30;79.8;28.9;39.2
2023-01-14 06:00:00;11;77.0;47.4;53.8
2023-01-14 07:00:00;36;80.1;26.5;37.4
2023-01-14 08:00:00;31;80.2;29.5;40.7
2023-01-14 09:00:00;14;76.5;48.0;55.3
2023-01-14 10:00:00;24;80.1;27.0;37.0
2023-01-14 11:00:00;38;80.4;37.9;51.9
